"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","glmmTMB_collapsed_vars"
35,"glmmTMB",0.666666666666667,1,0.0308436723785204,NA,NA,0.100607431010818,6.11816872991646,NA,NA,NA,TRUE,"x1"
35,"Lin",0.666666666666667,0,0.0283323404567404,1,0,0.119677246730243,5,0.5,-0.00307082784306602,-0.000345268840135265,NA,NA
35,"Bondell",0.666666666666667,0.6,0.0293679576748889,1,0,0.0971209947743701,0.4,0.4,0,0,NA,NA
