"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse"
32,"glmmTMB",0.666666666666667,1,0.0396017986956452,NA,NA,0.10212990292853,20.6184125759897,NA,NA,NA,TRUE
32,"Lin",0.666666666666667,0,0.0283868118232822,1,0,0.0712941637310892,5,0.5,-1.49463851223813e-05,-0.0016011349117878,NA
32,"Bondell",0.666666666666667,0.4,0.0321571764087778,1,0.5,0.0786642313579373,0.4,0.4,0.00684610887141608,0,NA
