"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse"
40,"glmmTMB",1,1,0.00249602083684028,NA,NA,0.030144634491545,0.001,NA,NA,NA,FALSE
40,"Lin",0.666666666666667,0,0.0281306393399205,1,0,0.0906363705506822,5,2.5,1.352530532236e-05,0,NA
40,"Bondell",1,0.2,0.00515052917933333,1,0.5,0.0406623261106616,0.4,0.4,0.00853776580492227,0,NA
