"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse"
44,"glmmTMB",1,1,0.00384556691518632,NA,NA,0.0208558707331408,0.001,NA,NA,NA,FALSE
44,"Lin",0.666666666666667,0,0.0303050668236273,1,0,0.0791285083673679,5,0.1,0,-0.00122507281522577,NA
44,"Bondell",1,0.4,0.00559921811433333,1,0.5,0.0269224139494887,0.4,0.4,0.00111844207340474,0,NA
