"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse"
16,"glmmTMB",0.666666666666667,0.8,0.0287952631271263,NA,NA,0.0758973254099607,20.6184125759897,NA,NA,NA,TRUE
16,"Lin",0.666666666666667,0,0.0280309235208751,1,1,0.0864954891193671,2.5,1,0.00677646729854878,0.0154768619738175,NA
16,"Bondell",1,0.4,0.021652871427,1,1,0.0685551642833273,0.4,0.4,0.00627455715117774,0.00406382373198492,NA
