"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","glmmTMB_collapsed_vars"
1,"glmmTMB",1,1,0.00162337207600013,NA,NA,0.0218155170938583,0.001,NA,NA,NA,FALSE,""
1,"Lin",0.666666666666667,0,0.0286319007029207,1,0.5,0.0993053789287624,5,0.5,-5.6096562859119e-05,0.0372399899054542,NA,NA
1,"Bondell",1,0.2,0.00474759634822222,1,0.5,0.0346298616660873,0.4,0.4,0,0.0114988256244792,NA,NA
2,"glmmTMB",0.666666666666667,0.8,0.0488008939233267,NA,NA,0.103988137007286,20.6184125759897,NA,NA,NA,TRUE,"x1"
2,"Lin",0.666666666666667,0,0.0288055624557602,1,0.5,0.0641124046945592,10,0.1,-0.0029024746263801,0.0276216104968616,NA,NA
2,"Bondell",0.666666666666667,0.2,0.0380852245255556,1,0,0.0798268751985483,0.4,0.4,0,0,NA,NA
3,"glmmTMB",1,1,0.00807627726952504,NA,NA,0.0297303213147149,0.001,NA,NA,NA,FALSE,""
3,"Lin",0.666666666666667,0,0.0289218866509399,1,0,0.0788790715091953,2.5,2.5,0,0,NA,NA
3,"Bondell",1,0.2,0.0113599273691111,1,0,0.0404895855738775,0.4,0.4,0,0,NA,NA
4,"glmmTMB",0.666666666666667,0.4,0.0317543299270314,NA,NA,0.0814959483057155,15.8158385678152,NA,NA,NA,TRUE,"x1"
4,"Lin",0.666666666666667,0,0.027822986756334,1,0.5,0.0730135727198377,0.5,1,0,0.00770570460076772,NA,NA
4,"Bondell",0.666666666666667,0,0.033490422713,1,0,0.0712448973115365,0.2,0.2,0,0,NA,NA
5,"glmmTMB",1,1,0.00169164860475507,NA,NA,0.0318842176936892,0.001,NA,NA,NA,FALSE,""
5,"Lin",1,0.2,0.000487173936829923,1,0.5,0.0316581942658042,1,0.1,0.00922422317541699,-0.003430713996872,NA,NA
5,"Bondell",1,0.2,0.000454488390111111,1,0.5,0.0289106328293694,0.4,0.4,0.00242367175797838,0,NA,NA
6,"glmmTMB",1,1,0.036439264805408,NA,NA,0.0828390277643803,6.11816872991646,NA,NA,NA,FALSE,""
6,"Lin",0.666666666666667,0,0.0283844731097312,1,0,0.0655588555945072,5,2.5,0,0,NA,NA
6,"Bondell",0.666666666666667,0.4,0.0295172018124444,1,0,0.0680478663733017,0.4,0.4,0,0,NA,NA
7,"glmmTMB",0.666666666666667,0.6,0.0287880743774139,NA,NA,0.0900750521274038,20.6184125759897,NA,NA,NA,TRUE,"x1"
7,"Lin",0.666666666666667,0,0.0293838783267799,1,0,0.0968777739350092,2.5,0.1,-0.0149384020725223,0,NA,NA
7,"Bondell",0.666666666666667,0.6,0.0297448398315556,1,0,0.0910232218324446,0.4,0.4,0,0,NA,NA
8,"glmmTMB",1,1,0.0172966179385261,NA,NA,0.0570132317843725,0.001,NA,NA,NA,FALSE,""
8,"Lin",1,0,0.000302032769124996,1,1,0.0345948315340264,2.5,0.5,0.0215475311173306,0.00120458948983571,NA,NA
8,"Bondell",1,0.4,0.00156590323311111,1,0,0.0282967476448236,0.4,0.4,0,0,NA,NA
9,"glmmTMB",1,0.6,0.0294194632124034,NA,NA,0.0700780489877462,20.6184125759897,NA,NA,NA,FALSE,""
9,"Lin",0.666666666666667,0,0.0290793158535786,1,1,0.0746878778707711,5,0.1,0.0179796117094436,0.00906785477527296,NA,NA
9,"Bondell",1,0.2,0.00593026122255555,1,0.5,0.028672509936488,0.4,0.4,0.00720704259090643,0,NA,NA
10,"glmmTMB",0.666666666666667,0.4,0.0320832050922788,NA,NA,0.063645538662394,20.6184125759897,NA,NA,NA,TRUE,"x1"
10,"Lin",0.666666666666667,0,0.0284687890874938,1,0.5,0.0595783147354975,2.5,2.5,0,0.00369952454496846,NA,NA
10,"Bondell",1,0,0.0192256683848889,1,0.5,0.0459029325326563,0.4,0.4,0,0.0137871213970232,NA,NA
11,"glmmTMB",1,0.8,0.00458688670760473,NA,NA,0.0230010048435684,1.22508372483069,NA,NA,NA,FALSE,""
11,"Lin",1,0,0.00417637754175397,1,0,0.0229486337913514,1,2.5,0,0,NA,NA
11,"Bondell",1,0.4,0.00465607411,1,0,0.0235189640712876,0.4,0.4,0,0,NA,NA
12,"glmmTMB",1,1,0.0023209389328058,NA,NA,0.0209247836111632,1.22508372483069,NA,NA,NA,FALSE,""
12,"Lin",1,0,0.00416718659056252,1,0,0.0285506767052048,2.5,0.1,-0.00490386747237205,-0.000279068264342648,NA,NA
12,"Bondell",1,0.2,0.00160551028077778,1,0.5,0.019708441756242,0.4,0.4,0.0027972187326186,0,NA,NA
13,"glmmTMB",1,1,0.00340588677912428,NA,NA,0.0214922015368773,0.001,NA,NA,NA,FALSE,""
13,"Lin",0.666666666666667,0,0.0288840490005851,1,0,0.0690319809191606,10,1,0,0,NA,NA
13,"Bondell",1,0.2,0.000855145090777778,1,0,0.0202739050755643,0.4,0.4,0,0,NA,NA
14,"glmmTMB",1,1,0.0347361032880879,NA,NA,0.0949706007799309,6.11816872991646,NA,NA,NA,FALSE,""
14,"Lin",0.666666666666667,0,0.0284509132396142,1,0.5,0.0862267733735111,2.5,0.5,0.00911295252998241,-0.000432321922251003,NA,NA
14,"Bondell",0.666666666666667,0.2,0.0304064158167778,1,0.5,0.0846278051827592,0.4,0.4,0.00249532923598063,0,NA,NA
