"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
14,"Bondell",0.666666666666667,0,0.03603330737,1,0,0.0768690376292868,0.2,0.2,0,0,NA,12345,NA
15,"glmmTMB",1,1,0.00625710916370728,NA,NA,0.0360853022351235,0.001,NA,NA,NA,FALSE,12345,NA
15,"Lin",0.666666666666667,0,0.028729309148111,1,0.5,0.0783860011046937,10,0.5,0.00705119221398335,-0.000397613958964478,NA,12345,NA
15,"Bondell",1,0.2,0.008434654353,1,0.5,0.034978499796093,0.4,0.4,0.0173316314325196,0,NA,12345,NA
16,"glmmTMB",0.666666666666667,0.8,0.0287952631271263,NA,NA,0.0758973254099607,20.6184125759897,NA,NA,NA,TRUE,12345,NA
16,"Lin",0.666666666666667,0,0.0280309235208751,1,1,0.0864954891193671,2.5,1,0.00677646729854878,0.0154768619738175,NA,12345,NA
16,"Bondell",1,0.4,0.021652871427,1,1,0.0685551642833273,0.4,0.4,0.00627455715117774,0.00406382373198492,NA,12345,NA
17,"glmmTMB",1,1,0.00610964771872153,NA,NA,0.030360893361872,0.001,NA,NA,NA,FALSE,12345,NA
17,"Lin",1,0,0.000787116899885138,1,0.5,0.0239353336185937,2.5,0.1,-0.00361175796097295,0.00777024388945503,NA,12345,NA
17,"Bondell",1,0.2,0.00157223109022222,1,1,0.0230182498509437,0.4,0.4,0.00203431260791064,0.00165182629244068,NA,12345,NA
18,"glmmTMB",0.666666666666667,0.6,0.0486838620871359,NA,NA,0.12555487900632,20.6184125759897,NA,NA,NA,TRUE,12345,NA
18,"Lin",0.666666666666667,0,0.0282036189801973,1,0.5,0.0820180757060359,10,2.5,0.00416367708451453,0,NA,12345,NA
18,"Bondell",0.666666666666667,0.2,0.0340224325503333,1,0.5,0.0975502961012915,0.4,0.4,0.00593789007266698,0,NA,12345,NA
19,"glmmTMB",1,0.8,0.0223635059844613,NA,NA,0.0639438610143806,0.001,NA,NA,NA,FALSE,12345,NA
19,"Lin",0.666666666666667,0,0.0285069374801019,1,0.5,0.0739969298190233,10,2.5,0.00531918580241721,0,NA,12345,NA
19,"Bondell",1,0.2,0.00678924677355555,1,0.5,0.0316830371475862,0.4,0.4,0.005329577308321,0,NA,12345,NA
20,"glmmTMB",1,1,0.0026472819790893,NA,NA,0.0291673638195632,1.22508372483069,NA,NA,NA,FALSE,12345,NA
20,"Lin",1,0,0.00466476833998684,1,0.5,0.0403541734965357,2.5,1,0,0.00224447479858513,NA,12345,NA
20,"Bondell",1,0.2,0.00190278645355555,1,0.5,0.0296078807581845,0.4,0.4,0.00186502038185553,0,NA,12345,NA
21,"glmmTMB",1,1,0.0075494858697635,NA,NA,0.0398272550133879,0.001,NA,NA,NA,FALSE,12345,NA
21,"Lin",1,0,0.00319543476198449,1,0.5,0.0341590946666029,1,0.1,0.00650516216778577,-0.00134258340166537,NA,12345,NA
