"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","glmmTMB_collapsed_vars"
17,"Bondell",0.666666666666667,0,0.0304739275842222,1,0,0.0877627614028494,0.2,0.2,0,0,NA,NA
18,"glmmTMB",1,1,0.00283442190903535,NA,NA,0.0338532212781917,0.001,NA,NA,NA,FALSE,""
18,"Lin",1,0,0.00129700230006,1,0,0.0342536197657182,1,2.5,0,0,NA,NA
18,"Bondell",1,0.4,0.00148900507322222,1,0,0.033683499166219,0.4,0.4,0,0,NA,NA
19,"glmmTMB",1,1,0.00696359167939886,NA,NA,0.047506747313736,1.22508372483069,NA,NA,NA,FALSE,""
19,"Lin",0.666666666666667,0,0.0280599733080875,1,0,0.0820557891001733,5,0.5,-0.000327994796240071,-0.000249225594143256,NA,NA
19,"Bondell",1,0.6,0.00591907624055556,1,0,0.0417222890154382,0.4,0.4,0,0,NA,NA
20,"glmmTMB",1,1,0.00152216514379156,NA,NA,0.0196210599436352,0.001,NA,NA,NA,FALSE,""
20,"Lin",1,0,0.00699696465838209,1,0.5,0.0337761783313843,2.5,0.5,-0.000213751083867094,0.00851093063918865,NA,NA
20,"Bondell",0.666666666666667,0,0.0330454592063333,1,0,0.0635880152554613,0.2,0.2,0,0,NA,NA
21,"glmmTMB",1,1,0.0120490546521321,NA,NA,0.0449541524502169,1.22508372483069,NA,NA,NA,FALSE,""
21,"Lin",0.666666666666667,0,0.0281464685827291,1,0,0.0853337905683402,10,2.5,0,0,NA,NA
21,"Bondell",1,0,0.004762946135,1,0,0.0318319577095797,0.4,0.4,0,0,NA,NA
22,"glmmTMB",1,1,0.0229289802363148,NA,NA,0.0611042366200853,0.001,NA,NA,NA,FALSE,""
22,"Lin",0.666666666666667,0,0.0278995984478123,1,1,0.0830228392903595,10,1,0.0109622545768732,0.0114398921089373,NA,NA
22,"Bondell",0.666666666666667,0.4,0.032015330133,1,0.5,0.0789320113065046,0.4,0.4,0.00273264023758856,0,NA,NA
23,"glmmTMB",1,1,0.0122762564602816,NA,NA,0.0482568580729297,1.22508372483069,NA,NA,NA,FALSE,""
